"","Acid resistance","Aminoglycosides","Arsenic resistance","betalactams","Biocide and metal resistance","Cationic antimicrobial peptides","Copper resistance","Drug and biocide and metal resistance","Drug and biocide resistance","Glycopeptides","Mercury resistance","Metronidazole","MLS","Multi-metal resistance","Nucleosides","Sulfonamides","Tetracyclines","Zinc resistance","Prevotella","Bacteroides","Methanobrevibacter","Fibrobacter","Olsenella","Streptomyces","Pseudomonas","Clostridium","Butyrivibrio","Ruminococcus"
"stewartERR2027907",0,0.016330320944033,0,0.00391837104482345,0,0,0,0,0,0,0,0.00860682657244457,0.061810604516319,0,0.00246880025367489,0,0.906865076668705,0,0.285003383449225,0.128551577411369,0.131888150316113,0.0148467979760569,0.18199383089066,0.0320750058247308,0.0341041471155282,0.117682304792616,0.0236706850347581,0.0501841171889431
"shiSRR873456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631015575719346,0.110685622786161,0.00420592944829929,0.0355883351933621,0.0378087243437333,0.0215633946334126,0.0243408219709836,0.0137842690086855,0.0348255616478238,0.0861817652481922
"stewartERR2027901",0,0.00416274627206113,0,0.0014255980383771,0,0,0,0,0,0,0,0.00538876058506543,0.0287685684144499,0,0,0,0.960254326690047,0,0.472317712087266,0.113441552465675,0.120779001839758,0.00989592622725858,0.124520820048229,0.0283395187962331,0.0470123684825622,0.0445695382036829,0.0137314018726601,0.0253921599766752
"hessSRR094403",0,0.00919030264617335,0,0,0,0,0,0,0,0,0,0.00380288385358898,0.0866740611630487,0,0,0,0.900332752337189,0,0.154520828515741,0.0950621056456675,0.0420451917676985,0.405540781606158,0.0295373459746952,0.11217419312213,0.0771736975983617,0.0215305077466883,0.0370940834462026,0.0253212645766575
"stewartERR2027913",0,0.0198786627081451,0,0.00309797340906157,0,0,0,0,0,0,0,0.0231057183425842,0.0111656124951594,0,0,0,0.94275203304505,0,0.380206883766015,0.0863657047954781,0.281269088737548,0.0280298395828617,0.025148735571135,0.0535370619298432,0.0424763555879069,0.0525271951165629,0.02627749062901,0.0241616442836391
"hessSRR094418",0,0.00914780934039478,0,0,0,0,0,0,0,0,0,0.00401219707912053,0.0868239447921682,0,0,0,0.900016048788317,0,0.154010071210159,0.0938683129274782,0.0410792828503925,0.403766980167908,0.0297833076105082,0.115297564124314,0.0786084020539641,0.0218388854637764,0.0362712523636726,0.025475941227827
"shiSRR873598",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.435060517321588,0.133992930159404,0.024226797809192,0.0546689123315266,0.149400653083322,0.0258689178291628,0.0315039948991497,0.0576394285685261,0.059266161182924,0.0283716868152045
"shiSRR873465",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.67601048671659,0.105017430719079,0.0119513566261482,0.0366929011363556,0.0101676248258696,0.0158794557938579,0.0187751472595232,0.0124596052808361,0.0325880198278849,0.0804579718138558
"shiSRR873607",0,0.0317401045556386,0,0,0,0,0,0,0,0,0,0.846900672143391,0,0,0,0,0.121359223300971,0,0.497930832956418,0.115386482764757,0.071811542932266,0.0585140387846878,0.0405354115343342,0.0420119599974566,0.0385398238934491,0.0392739644507016,0.0526521879838748,0.0433437547020545
"shiSRR873600",0.0170857511283043,0.447372662798195,0.01249194068343,0.0870406189555126,0.00137008381689233,0.0600419084461638,0,0.00491618310767246,0.0225660863958737,0,0,0.0786589297227595,0.0983236621534494,0.0963894261766602,0,0,0.073742746615087,0,0.530511936039897,0.122842810255214,0.0460172098991323,0.0651889848646386,0.0525574230077337,0.0234117314769449,0.0269109726942167,0.0461124475512291,0.0626617220967293,0.023784762114264
